contcod,currcod,conv_fac,continent
ALB,ALL,0.00945409,EU
ARG,ARS,0.203384504,SA
ARM,AMD,0.00247783,AS
AUS,AUD,1.03936369,OC
AUT,EUR,1.318464215,EU
BEN,XOF,0.002009986,AF
BGD,BDT,0.012550508,AS
BGR,BGN,0.673774011,EU
BLR,BYN,0.000116926,EU
BOL,BOB,0.14472538,SA
BRA,BRL,0.488080946,SA
BTN,BTN,0.018231217,AS
BWA,BWP,0.128199995,AF
CAN,CAD,1.003179494,NA
CHL,CLP,0.002088119,SA
CHN-R,CNY,0.160480407,AS
CHN-U,CNY,0.160480407,AS
COG,XAF,0.002009986,AF
COL,COP,0.00056584,SA
CRI,CRC,0.001951037,NA
CZE,CZK,0.052544309,EU
DEU,EUR,1.318464215,EU
DNK,DKK,0.176716423,EU
DOM,DOP,0.025018431,NA
ECU,USD,1,SA
EGY,EGP,0.157375578,AF
ESP,EUR,1.318464215,EU
EST,EUR,1.318464215,EU
ETH,ETB,0.05472032,AF
FIN,EUR,1.318464215,EU
FRA,EUR,1.318464215,EU
GBR,GBP,1.625924037,EU
GEO,GEL,0.60317909,AS
GHA,GHS,0.524800258,AF
GIN,GNF,0.00014307,AF
GNB,XOF,0.002009986,AF
GRC,EUR,1.318464215,EU
GTM,GTQ,0.126526046,NA
HND,HNL,0.05025105,NA
HUN,HUF,0.004528099,EU
IDN,IDR,0.000102041,AS
IND,INR,0.018231217,AS
IRL,EUR,1.318464215,EU
IRN,IRR,8.14E-05,AS
ISL,ISK,0.00778817,EU
ISR,ILS,0.267827231,AS
ITA,EUR,1.318464215,EU
JOR,JOD,1.408252051,AS
KAZ,KZT,0.006647137,AS
KGZ,KGS,0.021096513,AS
KHM,KHR,0.00025,AS
KOS,EUR,1.318464215,EU
LAO,LAK,0.000125242,AS
LKA,LKR,0.007830976,AS
LSO,LSL,0.11782896,AF
LTU,EUR,1.318464215,EU
LUX,EUR,1.318464215,EU
LVA,EUR,1.318464215,EU
MDA,MDL,0.08256416,EU
MDG,MGA,0.000444012,AF
MEX,MXN,0.077131949,NA
MKD,MKD,0.02118761,EU
MLI,XOF,0.002009986,AF
MNE,EUR,1.318464215,EU
MNG,MNT,0.000725962,AS
MUS,MUR,0.03236255,AF
MWI,MWK,0.00298845,AF
NAM,NAD,0.11782896,AF
NER,XOF,0.002009986,AF
NGA,NGN,0.006404084,AF
NIC,NIO,0.04148518,NA
NLD,EUR,1.318464215,EU
NOR,NOK,0.179703653,EU
NPL,NPR,0.011395077,AS
NZL,NZD,0.826565528,OC
PAK,PKR,0.010280239,AS
PAN,PAB,1,NA
PER,PEN,0.391747611,SA
PHL,PHP,0.024364532,AS
POL,PLN,0.323135381,EU
PRY,PYG,0.000237,SA
PSE,ILS,0.267827231,AS
ROU,RON,0.296616766,EU
RUS,RUB,0.032757125,EU
RWA,RWF,0.001585197,AF
SDN,SDG,0.226656333,AF
SEN,XOF,0.002009986,AF
SLE,SLL,0.000229803,AF
SLV,USD,1,NA
SRB,RSD,0.011739771,EU
SSD,SDG,0.226656333,AF
STP,STD,5.39E-05,AF
SVK,EUR,1.318464215,EU
SVN,EUR,1.318464215,EU
SWZ,SZL,0.11782896,AF
TCD,XAF,0.002009986,AF
TGO,XOF,0.002009986,AF
THA,THB,0.032686511,AS
TJK,TJS,0.20989045,AS
TUN,TND,0.643774097,AF
TUR,TRY,0.560168178,AS
TWN,TWD,0.034419962,AS
TZA,TZS,0.000632064,AF
UGA,UGX,0.00037106,AF
UKR,UAH,0.124300861,EU
URY,UYU,0.052138,SA
USA,USD,1,NA
VEN,VEF,0.23255814,SA
VNM,VND,0.000048,AS
ZAF,ZAR,0.11782896,AF
ZMB,ZMW,0.000192498,AF
